"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,6.417931,0.205022,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,4.483961,0.158307,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,1.719338,0.222117,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,1.271022,0.130705,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,0.867086,0.083828,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,0.447679,0.052182,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,0.066716,0.002218,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,0.016935,0.000636,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,0.011688,0.000876,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,151.618745,10.999672,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,105.050067,9.545536,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,81.079591,1.802786,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,67.227802,7.060236,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,41.404372,10.339311,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,34.802432,1.494514,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,33.724154,3.969934,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,27.685125,0.959210,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,7.393778,1.166489,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,6.934853,0.597287,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,2.669395,0.251973,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,108.984889,13.682313,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,66.737500,16.177897,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,42.032236,9.780711,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,24.555362,7.972599,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,21.526920,3.628431,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,19.400627,3.084528,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,14.782944,2.147596,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,13.424185,3.144290,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,4.829692,0.874709,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,0.922735,0.326865,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,0.611171,0.375180,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,19.979287,1.062224,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,8.546233,1.318079,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,5.273468,0.452957,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,3.796948,0.411433,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,1.446908,0.133158,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,1.002440,0.094822,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,0.835966,0.055295,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,0.664344,0.032351,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,0.083422,0.002776,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,0.016098,0.001608,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,0.007808,0.000158,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,200.016336,9.962784,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,130.188076,2.299835,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,113.482414,0.825184,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,88.378167,1.108985,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,41.501404,1.647398,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,10,25.894015,5.134764,"ops/s",700000
