"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,27.567539,2.358520,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,23.499555,0.630851,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,19.195110,1.575778,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,14.987197,1.367797,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,13.423759,1.014328,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,12.996996,0.944344,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,8.799899,0.639259,"ops/s",1250000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,6.603206,0.172985,"ops/s",1500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,6.116678,0.746596,"ops/s",1750000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,29.872487,0.105133,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,14.357195,0.384450,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,7.720872,0.052041,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,5.422383,0.065475,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,3.674462,0.829115,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,1.705274,0.017254,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,2.167730,0.069394,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,1.658085,0.188410,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,0.842895,0.007167,"ops/s",1250000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,0.491261,0.006663,"ops/s",1500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,0.389793,0.022096,"ops/s",1750000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,259.592787,27.185011,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,181.115298,1.240070,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,138.118034,1.319527,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,106.286838,1.367426,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,65.882015,7.773194,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,75.292311,21.777544,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,57.165304,1.516103,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,52.173022,0.672797,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,35.944941,1.292488,"ops/s",1250000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,33.219705,0.332294,"ops/s",1500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,10,27.524079,0.444040,"ops/s",1750000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,93.774150,13.735556,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,58.559937,9.526071,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,36.796521,3.509251,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,27.956113,1.421349,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,23.069412,1.128042,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,18.585995,1.333764,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,14.958956,1.289713,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,14.306716,0.750082,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,10.359226,0.690122,"ops/s",1250000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,8.442382,0.607876,"ops/s",1500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,7.632635,0.359998,"ops/s",1750000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,27.200420,7.481938,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,10.333264,0.526875,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,10,11.087907,0.547792,"ops/s",400000
